下半身に生暖かい感触を覚える。	하반신에 미지근한 감촉을 기억한다.
んっ……はぁ、はぁあ、ぐちゅっ、ごひゅじんひゃまの、ひくひくひてますっ、んぐちゅっ……れるぅ！　はぁ、はうっ、らして、らしてぇっ！	……하아, 하아아…… 주인니메 거기 움찔움찔하고 이써요………… 하아…… 싸줘 싸줘엇!
んぅっ、んぷっ……！　んぅううっ……ごひゅじんひゃまの……んぅっ……せいえきぃ……	……………… 주인니메………… 정액……
んくっ……こくっ……えへへ……はぁ、はぁ……おいしかったです……んぅん……	…………에헤헤…… 하아, 하아…… 맛있었어요…………
あう、でも、その……こんなに出しちゃったら、夜伽の時に、わたしにくれなくなっちゃうのでしょうか……？	……그치만 그…… 이렇게 싸 버리면 밤시중 때는 저한테 주지 못하게 되는 걸까요……?
……はは、お手柔らかに頼むよ。	…… 하하, 살살 부탁해.
ごめんなさい、あの……ご主人様にしてあげたいなって思ったら、我慢できなくって……続きは、お部屋で……ですね♪	죄송해요, 저…… 주인님이랑 하고 싶다고 생각하니 못 참겠어요…… 다음은 방에서……네요♪
その笑顔に、俺は打ち抜かれてしまうのであった。	그 웃는 얼굴에 나는 함락되는 것이었다.
ご主人様、あの……キス、してください……	주인님, 저…… 키스, 해주세요……
ちゅっ……ちゅ……んぅっ……ちゅっ……ごめんなさい……すぐに、その……ちゅっ……したくなっちゃって……	……………………죄송해요…… 바로 그………… 하고 싶어져서……
んちゅっ……じゅるぅっ……はぁ、はぁっ……ちゅ、ちゅううっ……はぁ、はううっ……ご主人様ぁ、ご主人様ぁ……	………… 하아……………… 하아………… 주인님, 주인님……
もっと他にしてほしいことがあるかのような、物欲しそうな顔だった。	좀 더 다른 것도 해줬으면 하는 것 같은, 탐이 나는 듯한 얼굴이었다.
……どうかした？	……왜 그래?
気付いているけれど、先回りして言うのも面白みにかける。	알고 있지만, 먼저 말해버리는 것도 재미있다.
……ご主人様ぁ、あの……分かってください……えっと、わたし……	…… 주인님, 저…… 이해해 주세요…… 음, 저……
どうして部屋まで待てないのかな？	왜 방까지 못 기다리는 거야?
夜伽に誘われた時から、き、期待して……最初は、その……キスしてくれたら、我慢できるかなって……	밤시중에 불렸을 때부터 기, 기대해서…… 처음엔 그…… 키스하면 참을 수 있을까 해서……
……だめ、ですよね。その……我慢できるはずないです……	…… 안되, 네요. 그…… 참을 수 있을 리가 없어요……
どうしたい、かな。	어떻게 하고 싶은, 거야.
…………あの……可愛がって下さい……	………… 저…… 귀여워해 주세요……
俺は……どうすればいいのかな？	난…… 어떡하면 되는 거야?
……あ、あう……せ、セックス、してください……ご主人様、わたしと、えっちしてください……	…… …… 세, 섹스, 해주세요…… 주인님, 저랑 섹스해 주세요……
俺はそこまで言わせても、ペニスを入れなかった。	나는 거기까지 말하게 하고도 페니스를 넣지 않았다.
ご主人様の、あの、がちがちになっている、ソレ……アソコに、入れて下さい……はぁ、はううっ……ご主人様ったらぁ……	주인님의, 저, 딱딱하게 되어 있는 그거…… 거기에 넣어 주세요…… 하아………… 주인님도 참……
はぁ……あうううっ……ご主人様の太いのがちがちなの……わたしの……その、触ってもいないのに……濡れちゃってるアソコに入れてください……！	하아………… 주인님의 굵고 딱딱한 거…… 저의…… 그, 손대지도 않았는데…… 젖어 버린 거기에 넣어 주세요……!
そのまますぐ、俺は激しい抽送を始める。	그대로 바로, 나는 격렬한 삽입을 시작한다.
あうっ！　やぁ、やぁんっ！　ご、ご主人様、はげしっ……はぁ、はううっ……！　あううっ……！	………………주, 주인님, 격렬해…… 하아………………!
だって、いっぱい濡れてるから。	그거야 잔뜩 젖어 있으니까.
はぁ、はぅうっ……んぅっ、は、はいっ、わたし、わたし、んぅんっ……！　いっぱいアソコ、その、濡らしちゃってました、はぁ、はぁっ……！	하아………… 네, 네, 저, 저…… 잔뜩 거기를, 그, 젖게 하고 있었어요, 하아…………!
あうう、んぅっ、き、キスする前は、ちょっとだけだったのにっ……はぁ、はぁ！　ご主人様とキスしたら、はああっ、いっぱい濡れて……！	…………키, 키스 하기 전에는 조금뿐이었는데…… 하아, 하아! 주인님이랑 키스 했더니…… 잔뜩 젖어서……!
少し奥に突くだけで、愛液はどくどくと重力に引かれて垂れてしまう。	조금 안쪽을 쑤시는 것만으로도, 애액이 중력에 이끌려 질질 늘어져 버린다.
ご、ごめんなさいぃ……はぁ、はううっ……ごめんなさい、ご主人様ぁ、はぁ、はううっ……わたし、こんなのぉ、エッチ過ぎです……	죄송해요…… 하아………… 죄송해요, 주인님, 하아………… 저, 이런 건 너무 야해요……
お部屋まで我慢できない、はぁ、はぁ、はしたないメイドですぅ、はぁ、はうっ……！	방에까지 가는 것도 못 참는, 하아, 하아, 버릇없는 메이드입니다아, 하아…………!
俺はお仕置き、と言わんばかりに抽送を激しくする。	나는 벌, 이라고 하듯이 삽입을 격렬하게 한다.
あひっ！　ああああ、はげし、はげしいですっ、んぅうんっ、ご主人様、ご主人様ぁっ♪	………………격렬해, 격렬해요…… 주인님, 주인님♪
はぁ、はぁ、やっぱり、わたしぃ、アソコのなかぁ、ふといのでぐりぐりされるのが、いちばんすきなんですっ……！	하아, 하아, 역시, 전, 거기 안쪽을 굵은 걸로 둥글둥글하게 하는 걸, 제일 좋아해요……!
あああ、んぅっ、はぁ、はぁ、なんか、わたしのあそこの、い、一番奥も、ご主人様の先にぃ、くちゅくちゅって、当たってますぅ……！	아아아…… 하아, 하아, 뭔가, 제 거기, 가, 가장 안쪽도, 주인님의 끝으로 질척질척 닿고 있어요……!
ご褒美といったほうが、正しい。	포상이라고 하는 편이, 맞겠다.
はぁ、はううっ、は、はいっ、あううっ、そっかぁ、この後も、はううっ！　ご、ご主人様にずっと、一晩中、えっちなこと、されちゃうんだ……！	하아…… 네, 네…… 그런가, 이 뒤에도……! 주, 주인님에게 계속, 밤새 야한 일을 당해버리는 거야……!
あぁあ、あぅっ！　はぁ、はぁっ！　ご、ご主人様ぁああ～っ！！	아아아……! 하아……! 주, 주인니이이임!!
搾り取られるような、奪い取るような締め付け。	짜내려는 것 같이, 빼앗으려는 것 같이 붙잡는다.
はぁあっ……ご、ご主人様がぁ……♪　せいえき、くれました……えへへ……わたし、おねだりして……良かったですぅ……	…………주, 주인님이……♪ 정액 주셨어요…… 에헤헤…… 저, 졸라대길…… 잘했어요……
……はい、えへへ……ご主人様が、エッチなメイドにしたんですよ……？　だから、その……この後も、あいしてください……♪	……네, 에헤헤…… 주인님이 야한 메이드로 만든 거에요……? 그니까 그…… 이 뒤에도 사랑해 주세요……♪
ご主人様……えっと、その……お部屋につく前に……	주인님…… 음, 그…… 방에 도착하기 전에……
…………ここで、わたしの事、苛めてくれませんか……？	…………여기서 저를 괴롭혀 주시지 않을래요……?
ご、ごめんなさい。その……だって、ご主人様とお話している時から、はやくはやくって思っちゃって……え、えへへ……	죄, 죄송해요. 그게…… 그치만, 주인님이랑 이야기 하고 있었을 때부터, 빨리, 빨리 하고싶다고 생각해서…… 에, 에헤헤……
エッチなメイドに、はう……い、いらまちお、してください……	야한 메이드에게………… 이라마치오를 시켜주세요……
ぐぷっ……んぉっ……んぅううっ……んぐぅうん……ごひゅじんひゃまぁ……んぐうぅうっ……	……………………주인님…………
んぐっ、んぉっ……んぅううっ……ごめんなひゃいいっ……んぐっ、んぷぅっ……こんなめいどれぇ、んぐっ、んぉ、んぷぅっ……んぇえ……	……………… 죄송해요………… 이런 메이드라서 ………………
はぁ、はぅっ……ぐぶっ……んぐ、ぶっ……おひおきひてくだひゃいいっ……んぐっ、んぅうんっ……んぅ、んぷっ……ごひゅじんひゃま……	하아……………… 벌을 주세요……………… 주인님……
ん、ぐっ……！？　んぷっ！　んぅっ！　んぅっ、ひゅぐっ！　はぁ、はぁ、おひおき、んんんぅ～っ！	………………하아, 하아…………!
……あんまり嬉しそうにされても、お仕置きって感じがしないな。	……너무 기쁜듯이 받으니 벌이라는 느낌이 안드네.
ぷ、はっ……はぁ、はうっ、ご、ご主人様だけなら……はい……すきです……のどのおく犯されると……はあ、すきすきって、思っちゃいます……	…… 하아…… 주, 주인님에게라면…… 네…… 좋아해요…… 목 안쪽을 범해지면…… 하아, 좋아좋아 라고 생각해요……
ご主人様が、わたしなんかで興奮して……はぁ、はぁ、こんなに大きくしてくれてるんだって思うと、わたし、しあわせです……	주인님이 저 따위로 흥분해서…… 하아, 하아, 이렇게 크게 해주신다고 생각하니 저는 행복해요……
んんん～～～っ！！　んぐぅ、うぇええっ、んぷっ、んぅうんっ！　はぁ、はぁ、ひあわへれすぅっ！	…………………………하아, 하아………!
いくら苛めてもお仕置きにならないな、この淫乱メイドは！	아무리 괴롭혀도 벌이 안 되네, 이 음란 메이드는!
んんんぅうんっ！　ごめんなひゃい、ごめんなひゃいいっ、んぐっ、んんんぅっ、いんらんでぇ、んぐっ、うぇえ、んぷっ、んんん～～～っ！！	…………죄송해요, 죄송해요………………음란해서……………………!!
んぐ、ぷっ、んぅっ！　んぅっ、んぁああ！　ひぅうっ、らしてぇ、んぐっ、んぅうんっ！　んどおくれ、んぐっ、んんぅうう～！！	……………… 싸줘……………………!!
んぐっ……！？　んぅっ、んぐぅうっ……！！　ごほっ……ごほっ……	………………콜록…… 콜록……
……分かるよね。	……알고 있겠지.
んっ……んくっ……んくっ……こくっ……んぷっ……はぁ、はぁ……えへへ……いっぱい、です……	………………………… 하아, 하아…… 에헤헤…… 잔뜩, 나왔네요……
こんなわたしに、んぅっ、たくさんの精液を注ぎ込んでくださって……あ、ありがとうございます……	이런 저에게…… 잔뜩 정액을 쏟아 주셔서…… 가, 감사합니다……
……さっさと立って、部屋で続きをするから。	……빨리 일어서, 방에서 계속 할거니까.
は、はい……♪　わたしのお願いに答えてくださって……お仕置きしてくれて……とても、しあわせです……	네, 네……♪ 제 부탁을 들어주셔서…… 벌을 주셔서…… 너무 행복해요……
どういうつもり？	왜 그래?
えっと……その、ご主人様ぁ……ここでしてください……お部屋まで待てません……	음…… 그, 주인님…… 여기서 해주세요…… 방까지 못 기다리겠어요……
まだ、濡れてないけど……	아직 젖지 않았는데……
え、えっと……その、痛いの、好きなので……えへへ……	으, 음…… 그, 아픈 거 좋아해서…… 에헤헤……
あの、あうう……このままだと、ご主人様にされちゃうって思って、濡れちゃいますから……はやくぅ……	저…… 이대로라면, 주인님이랑 한다고 생각하면 젖을 테니까요…… 빨리……
んぁあああっ……！　はぁ、はぁっ、はううっ、くるし、です……んぁああんっ……♪	………… 하아……괴로, 워요………………♪
はぁ、はぁっ……は、ぅううっ……わたし、あうっ……ん、くっ……んぅうんっ……いたくて、興奮しますぅ……	하아……………… 저, 저……………………… 아파서, 흥분해요……
すごいな、締め付けが……	엄청나네, 조임이……
あ、あの……はぁ、はうっ、えっとぉ、叩いて、くれたらぁ……も、もっと、アソコ、きゅーって、なりますよ……？	저, 저기…… 하아…… 음, 때려주면…… 조, 좀 더, 거기, 감동해요……?
ご主人様が良かったら……はぁ、はぁ、お、お尻……叩いてぇ……はぁ、はううっ……	주인님이 괜찮다면…… 하아, 하아, 어, 엉덩이…… 때려줘…… 하아……
そう言われて、俺は従ってしまう。	그렇게 말해서, 나는 따른다.
あっ……！？　ひぃっ！　ひぃいいんっ！　ご、ご主人様ぁ、はぁ、はうっ！　叩かれちゃったぁ……♪	앗……!? ………… 주, 주인님, 하아……! 맞아 버렸다아……♪
はぁ、はううっ、んぅっ、ご、ご主人様ぁ、どうですか、はぁ、はううっ、きもちいいですか……？	하아………… 주, 주인님, 어때요, 하아…… 기분 좋으세요……?
それなら……	그럼……
あうっ！　あぅうっ……！　やぁ、やぁあんっ！　はぁ、はぁっ、ご主人様、はげしいです、はぁ、あううっ！	……………………하아…… 주인님, 격렬해요, 하아……!
……そう？　挿れてからすぐに濡れだして、叩きながらエッチしたら、もうぐちゅぐちゅになってるけど？	…… 그래? 넣으니까 바로 젖기 시작해서, 때리면서 섹스하니까 이제 질척질척하게 됐는데?
きゃうっ、きゃぅううっ……！　はぁ、はぅっ！！　だって、ご、ご主人様がしてくれるからぁ、はぁはううっ……！	…………………………그치만, 주, 주인님이 해 주시니까………………!
やぁ、やぁあんっ！　はぁ、はひっ、お尻、じんじんしちゃってますっ……！　はぁ、はぁ、ご主人様、ご主人様ぁ……！	………………하아…… 엉덩이, 얼얼해졌어요……! 하아, 하아, 주인님, 주인님……!
はぁ、はぅっ、んぅっ、ひぐっ、こんな、お、お部屋に行く途中なのにっ……！　あぅうっ！　わたし、わたしっ……！	하아……………… 이런, 바, 방에 가는 길인데……! ……저, 저……!
本当だよ、ご主人様も大変だって分かってる？	정말이야, 주인님도 큰일이란 거 알고 있어?
あはぁ、はぁ、やぁあああんっ！　ごめん、なさいっ！　あううっ、あううっ……！！　ご主人様ぁ……！	……하아………… 죄송, 해요! ……………… 주인님……!
あ、あのっ、はぁ、はううっ、さ、最後まで、最後までっ……！　し、してくれますよね……？	저, 저기, 하아…… 끄, 끝까지, 끝까지……! 해, 해 주실 거죠……?
注文の多いメイドだな……ま、してあげるよ。	주문이 많은 메이드네…… 뭐, 해 줄게.
ぁあっ、あぎっ、はぁ、はぁあっ、あ、ありがとうございますっ、んぅっ！　んくっ、はぁ、はうううっ……！	……하아…… 가, 감사합니닷……! ………하아……………!
しょうがないから、ほらっ……	어쩔 수 없다니까, 자……
んぁっ、出てますっ……！　んぅっ！　んぁあ～～～～っ……！！	……나와요……………!
ふぁああ……アソコも、おひりも……んぅうん……火傷しそうなぐらい……熱いままです……んぅうんっ……	…… 거기도, 엉덩이도………… 너무…… 뜨거워요…… ……
はぁ、はぁ、ご主人様も、こんなに出してくれたんですね……？　あうう、エッチで、お部屋まで待てないわたしに……こんなにくれるなんてぇ……	하아, 하아, 주인님, 이렇게나 싸주신 거네요……? ……야해, 방까지 못 기다린 저에게…… 이렇게나 싸주다니……
は、はい……おねだりに答えてくれてぇ……ありがとう、ございました……だいすきな、ご主人様……	네, 네…… 부탁한 걸 해주셔서…… 감사합, 니다…… 정말 좋아하는 주인님……
ご主人様がよろしければ、その……この後も、いっぱい苛めてくださいね……えへへ……	주인님이 괜찮으시다면 그…… 이 뒤에도 잔뜩 괴롭혀 주세요…… 에헤헤……
あれだけ出したというのに、俺はすでに腹の奥に何かが滾るのを感じていた。	그만큼이나 쌌는데, 나는 벌써 배 안쪽에서 뭔가가 끓어오르는 것을 느끼고 있었다.
ふふっ……ご主人様のおちんちん、相変わらずたくましいですね。	후후……주인님의 자지, 변함 없이 씩씩하네요.
朝、下半身に優しい刺激を受け、緩やかに目が覚める。	아침, 하반신에 상냥한 자극을 받아 완만하게 깨어난다.
あら、ご主人様お目覚めですか……ふふっ、おはようございます。	어머나, 주인님 눈을 뜨고입니까……후후, 안녕하세요.
あっ、うん。おはよう。それで……なにをしているのかな？	아, 응. 안녕. 그래서……무엇을 하고 있는 것일까?
何って……ご主人様の逞しいおちんちんが立派になっていましたので、鎮めて差し上げようとしているのですが……	무엇은……주인님의 씩씩한 자지가 훌륭하게 되어 있었으므로, 진정시켜 드리려 하고 있습니다만……
そ、そうなんだ。あ、ありがとう？	, 그렇구나. 아, 고마워요?
はい♪　それではこのまま続けますね……。それにしてもご主人様のおちんちんは節操がないですね。私の手、もう先走り液でにゅるにゅるになってしまってます。	네♪　그러면 이대로 계속하네요……. 그렇다 치더라도 주인님의 자지는 절조가 없네요. 나의 손, 이제(벌써) 앞질러 해 액 나와 가 되어 버리고 있습니다.
いやぁ、昨日はちょっと欲求不満だったというか……そのまま寝ちゃったんだよね。	아니, 어제는 조금 욕구 불만이었다고 말할까……그대로 자버렸어군요.
もう、そういうことなら私を呼んでくださればいいのに……私ならいつでもご主人様のために頑張りますよ。	이제(벌써), 그런 것이라면 나를 불러 주시면 좋은데……나라면 언제라도 주인님을 위해서(때문에) 노력해요.
なんたって私たち相思相愛なんですから……このくらい当然ですよ。	아무튼 우리 상사상애이니까……이 정도 당연해요.
そう言って彼女は唇を俺の顔に近づけてくる。	그렇게 말해 그녀는 입술을 나의 얼굴에 접근해 온다.
んちゅ……ちゅ、ちゅぅ……ちゅる……ちゅっ、んんっ……ちゅっ……ちゅぅっ。	……, …………, 응응………….
んはぁ……ご主人様、とっても可愛い顔されてますよ。	응은……주인님, 매우 사랑스러운 얼굴 되고 있어요.
ふふっ、嬉しいことを言ってくださいますね。	후후, 기쁜 말을 해 주시네요.
彼女のペニスを握る手に力が入る。	그녀의 페니스를 잡는 손에 힘이 들어간다.
……ご主人様のペニスもビクビク震えて……ひょっとしてもうイキそうなのですか？	……주인님의 페니스도 벌벌 떨려……혹시 이제(벌써) 이키 그렇습니까?
うん、も、もう我慢できそうにない……かな？	응, 도, 이제(벌써) 참을 수 있을 것 같지 않은……일까?
なるほど、イッていいのですよ……全部私が受け止めて差し上げますから。	과연, 익이라고 좋은 것이에요……전부내가 받아 들여 드릴테니까.
そう言って彼女はこれ以上もない力で強くペニスを擦り上げてくれる。	그렇게 말해 그녀는 더 이상이나 없는 힘으로 강하게 페니스를 켜 준다.
……くっ！	……큭!
ひゃんっ！　あぁ……ご主人様の精液がこんなにたくさん……ふふっ、気持ちよかったですか？	응!　아……주인님의 정액이 이렇게 많이……후후, 기분 좋았습니까?
膣内射精と違い受け止めどころのない俺の精液が、暴れるように解き放たれ彼女の全身を穢す。	질내 사정과 달라 이해 어디가 없는 나의 정액이, 날뛰도록(듯이) 풀어 발해지고 그녀의 전신을 예.
はぁ、はぁ……凄く気持ちよかったよ。でもごめんね、精液、髪にまでかけちゃって……拭うの大変だよね？	후~, 후~……굉장히 기분 좋았어요. 그렇지만 미안해요, 정액, 머리카락에까지 걸쳐 버려서……닦는 것 대단하지?
いえ、お気遣いなく。これもご主人様の一部だと思うと愛おしくて、もっと、もっと欲しいと思ってしまいます。	아니요 신경써 없고. 이것도 주인님의 일부라고 생각하면(자) 사랑 아까워서, 좀 더, 좀 더 갖고 싶다고 생각해 버립니다.
そういって貰えると俺も助かるよ。	그렇게 말해 받을 수 있으면(자) 나도 살아나.
あの……ご主人様。その……ひとつお願いがあるのですが……	그……주인님. 그……하나 부탁이 있습니다만……
その、ご主人様のおちんちん擦っていると……それだけじゃ物足りなくなってしまいまして……その、ご主人様に慰めていただいて……よろしいでしょうか……？	그, 주인님의 자지 켜고 있으면(자)……그 만큼은 어딘지 부족하게 되어 버려서……그, 주인님에게 위로해주고……좋을까요……?
私のおまんこ……もう、ご主人様のおちんちん欲しくて、ぬるぬるになってきてしまっているんです……	나의 보지……이제(벌써), 주인님의 자지 갖고 싶어서, 미끈미끈이 되어 와 버리고 있습니다……
彼女の言葉を聞いて俺のペニスも硬さを取り戻す。	그녀의 말을 (들)물어 나의 페니스도 딱딱함을 되찾는다.
それじゃ、もう一回しようか。	그러면, 다시 한번 할까.
はい、ご主人様ありがとうございます……大好きです。いえ、愛しています……	네, 주인님 감사합니다……정말 좋아합니다. 아니요 사랑하고 있습니다……
他の子なんて見ずにずーっと、私だけを愛してくださいね。	다른 아이는 보지 않고 계속, 나만을 사랑해 주세요.
そうして彼女は昼過ぎるまで俺の上に跨り、精液が枯れるまで腰を振り続けてくれた。	그렇게 해서 그녀는 오후까지 나 위에 걸쳐, 정액이 시들 때까지 허리를 계속 거절해 주었다.
ん、ちゅる……ちゅ、ちゅっ……ちゅる……んふっ、ちゅる……ちゅるる……んちゅっ。	응, ……, …………, ………….
朝、心地よい温かさが股間を包み込む。	아침, 기분 좋은 따뜻함이 사타구니를 감싼다.
んちゅ、ちゅるる……れるっ、ちゅ、あっ、ごひゅひんさま……おふぁようございます……ちゅるる……んちゅ。	, ……, , 아, 히응님……있는………….
そう言って彼女は嬉しそうに微笑む。	그렇게 말해 그녀는 기쁜듯이 미소짓는다.
独占欲の強い彼女らしく、常に俺と一緒にいないと不安らしいのだ。	독점욕의 강한 그녀들 깐다, 항상 나와 함께 없으면 불안한 것 같은 것이다.
ちゅ……ちゅぶ、ちゅ、ごひゅじんさまの、おちんひん……きょうもがちがひですね、ちゅずっ……れるぅ、ちゅっ。	……, , 인님의, 떨어지지 않는 히응……오늘가 히군요, 두……,.
んふっ……ちゅっ、ふふっ……最近ご主人様の敏感なところが分かってきたんですよ。ご主人様はさきっちょを舐められるより、カリ首の方がお好きな様ですね。	……, 후후……최근 주인님의 민감한 곳이 알게 되었습니다. 주인님은 앞를 빨 수 있는 것보다, 칼리목이 좋아하는 같네요.
そう言って彼女のはカリ首に舌を這わせ舌先のざらっとした感覚を押し当てるようにペニスを舐め始めてくれる。	그렇게 말해 그녀의 것은 칼리목에 혀를 기게 한 혀끝의 자리등로 한 감각을 꽉 누르도록(듯이) 페니스를 빨아 시작해 준다.
うぉっ……おおっ、これは……	……, 이것은……
情けなくも一瞬ぴくっと腰が反応してしまう。	한심하지도 일순간 움찔 허리가 반응해 버린다.
んちゅぅ、ちゅちゅ……ふふっ、ご主人様、可愛いですよ。あぁ、私だけのご主人様……この時間が永遠に続けばいいのに……	, 츄츄……후후, 주인님, 사랑스러워요. 아, 나만의 주인님……이 시간이 영원히 계속되면 좋은데……
ちゅるる……んちゅ、そうですね、私ご主人様の精液ならいくらでも飲みたいれすから……お好きな時にだひてくださいね。	……, 그렇네요, 나주인님의 정액이라면 얼마든지 마시는 것 싶은 로부터……좋아하는 때에다 히라고 주세요.
彼女はそういうと、大胆に口内に俺のペニスを収めていく。	그녀는 그러한과 대담하게 입안에 나의 페니스를 거두어 간다.
んぢゅ……ずずっ、ちゅぶっ、ちゅちゅ……ちゅるる、ちゅっ……ちゅぅぅっ、ちゅんっ	……염주, , 츄츄……, ……, 응
寝ている時からの奉仕ですっかりと出来上がっていた俺のペニスはいつでも発射できる状態だった。	자고 있을 때로부터의 봉사로 완전히 완성되고 있던 나의 페니스는 언제라도 발사할 수 있는 상태였다.
そこを彼女の舌で蕩けるように愛撫され、俺の腰がビクビクと震える。	거기를 그녀의 혀로 녹도록(듯이) 애무되어 나의 허리가 벌벌떨린다.
ぢゅぶぶぶっ……ぢゅずっ、んちゅ、だひてっ、だひていいのですよっ……ごひゅんさまの精液はじぇんぶわらひのものなんれすからっ……ちゅぶぶっ、ちゅ！	……두, , 다 히라고 , 다 히라고 좋은 것이에요 ……응님의 정액은 짚히의 것 로부터 ……,!
んふぅぅぅぅぅぅぅぅぅぅっ！！　んぅ……んぅっ……んぐっ……んんっ。	!　응……응…………응응.
彼女の口の中で俺の精液がとめどなく溢れ出る。	그녀의 입 중(안)에서 나의 정액이와 목표 없게 넘쳐 나온다.
ぷはぁ……ふふっ、ご主人様精液……こんなにたくさん私にいただけるなんて、私はなんて幸せなメイドなのでしょう……。	후~……후후, 주인님 정액……이렇게 많이 나로부터 받을 수 있다니 나는은 행복한 메이드겠지요…….
ご主人様のお役に立てて私もとても嬉しいです。ふふっ、ご主人様、他にしてほしいことはございませんか？	주인님이 도움이 될 수 있어 나도 매우 기쁩니다. 후후, 주인님, 그 밖에 해 주었으면 하는 것은 없습니까?
私、ご主人様のためならどんなことでも致しますから、遠慮なさらずに仰ってくださいね。	나, 주인님을 위해서라면 어떤 일이라도 하기 때문에, 사양 하시지 않고 말씀하셔 주세요.
うん、ありがと。	응, 가와.
それじゃ、ご主人様……もう一度致しましょうか……あれ、本日はご主人様のおちんちん元気がないですね。	그러면, 주인님……한번 더 할까요……저것, 오늘은 주인님의 자지 기운이 없네요.
そうかな？	그런가?
そうですよ、いつもでしたらご主人様のモノはもうガチガチですのに……ひょっとして昨晩、私のいないところで他の誰かからご奉仕を受けましたか？	그래요, 언제나라면 주인님의 물건은 이제(벌써) 가치가치예요에……혹시 어젯밤, 나의 없는 곳으로 다른 누군가로부터 봉사를 받았습니까?
えっ！？　いやっ……そ、そんなことはないよっ。	어!　아니……, 그렇지 않아.
……ご主人様、他のメイドとエッチするのは構いませんが、私の事忘れないでくださいね。	……주인님, 다른 메이드와 섹스하는 것은 상관하지 않습니다만, 나의 일 잊지 말아 주세요.
う、うん……勿論だよ。	, 응……물론이야.
では私を愛し続けると約束してくださいますか？	그럼 나를 계속 사랑한다고 약속해 주십니까?
うん。	응.
それでは嘘ついたら針千本ですよ？　勿論飲むのは私ですけど。	그러면 거짓말 하면(자) 가시복이에요?　물론 마시는 것은 나이지만.
えっ、俺じゃないの？	어, 나가 아닌거야?
最愛の殿方にそのようなことさせらないですよ……ですから私との約束破らないでくださいね？	가장 사랑하는 남자분에게 그러한 일 시키고들 없어요……이기 때문에 나라는 약속 찢지 말아 주세요?
えっと……ご主人様……私は……	……주인님……저는……
ええ……ご主人様と二人きりになったら、私ぃ……もう我慢できないです、ご主人様を感じたくて……キスして頂けませんか、ご主人様……？	네…… 주인님과 단 둘이 되니, 저…… 이제 못 참겠어요, 주인님을 느끼고 싶어서…… 키스 해 주시지 않을래요, 주인님……?
はぅ、んちゅぅ……ちゅぷっ、愛してますご主人様、ご主人様ぁっ……！　んむぅ、ちゅ……ちゅぷぅ、もっと、もっとして下さいぃ……	하아…… 사랑해요 주인님, 주인님……!　……좀 더, 좀 더 해 주세요……
我慢できないんです、んちゅぅ……はしたない私を許して下さい、ご主人様ぁ、ちゅぷぅ、んんぅっ……キス、キスしたくてぇ……	못 참겠어요…… 버릇없는 저를 용서해 주세요, 주인님…… 키스, 키스하고 싶어서……
ちゅぷぅ、ご主人様の唇熱くてぇ、んむぅ……私、もう身体が疼いてしまいそうですぅ、私だけのご主人様ぁ、んぷぅ、ちゅっ……ちゅぷぅっ！	……주인님의 입술 뜨거워서 ……저, 이제 몸이 달아올라요, 나만의 주인님……!
あぁっ……ご主人様、ご主人様ご主人様ぁ……！　もっと、もっといやらしいキスしたいです……お願いです、あぁっ……	아앗……주인님, 주인님 주인님……!　좀 더, 좀 더 야한 키스 하고 싶어요…… 부탁해요, 아앗……
んむぅ、じゅぶぅ、じゅるるぅっ……！　お口の中にご主人様の舌、ちゅぷぅ、ちゅぅっ……熱くてぇ、んちゅぷぅ……ちゅるっ……	 …………입안에 주인님의 혀가 ……뜨거워서…………
んちゅ、美味しい、こくこく……ちゅぷぅ、ご主人様の唾液まで味わえるなんて、私ぃ……！　はぅ、ちゅっ……蕩けてしまいそうですぅ、ぢゅるるぅ……！	……맛있어………… 주인님의 침까지 맛볼 수 있다니 저……!　…………녹아 버릴 것 같아요……!
ふふっ、ねえ、ご主人様ぁ……れろぉ、ちゅぷぅ、んぢゅぅぅ……！　私、このまま……	후훗, 저기, 주인님……,, ……!　저, 이대로……
さすがご主人様、私が何も言わずとも、わかってくださるのですね……！　ですがその……ここでは、少し恥ずかしいです……	과연 주인님, 제가 아무것도 말하지 않아도, 알아 주시는 거네요……!　그치만 그…… 여기서는 조금 부끄러워요……
ご主人様が相手では、私、いくらでもはしたなくなってしまうんです……！　だから私の事、慰めて下さい、お願いですぅ……あぁ、ご主人様ご主人様ご主人様ぁっ……！	주인님이 상대라면 저, 얼마든지 부끄럽게 되어 버릴 거에요……!　그니까 저를, 위로해 주세요, 부탁해요 ……아아, 주인님 주인님 주인님……!
ふふっ……そのままでいて下さい、ご主人様ぁっ……	후훗……그대로 있어 주세요, 주인님……
私、もう我慢できないんです……ご主人様を前にしたら、抑えきれなくて……あぁ……愛しいご主人様……	저, 이제 못 참겠어요…… 주인님을 앞에 두면, 참을 수 없어서…… 아아…… 사랑스러운 주인님……
れろぉ、ちゅぷぅっ……ご主人様の、もうこんなに硬くなって……んむぅ……匂い嗅いでいるだけで、疼いてしまいそうです、んぢゅ、ちゅるるぅ……	……주인님의 거기, 벌써 이렇게 딱딱해져서………… 냄새 맡는 것 만으로도, 달아오를 것 같아요 ……
