$^(.+?)、何を……$	$1, 무엇을……
$^いくら大らかな(.+?)といえど……かなり大胆な行為だといえるだろう。$	아무리 느긋한 $1라고 해도……꽤 대담한 행위라고 말할 수 있을 것이다.
$^(.+?)の激しい絶頂と同時に、俺もありったけの精を\1の膣内に吐き出す。$	$1의 격렬한 절정과 동시에, 나도 온갖 정령을 $1의 질내에 토해냈다.
$^(.+?)が苛めてほしい、そう言ったので、俺はちょっとだけ強い口調で\1を詰った。$	$1가 괴롭혔으면 좋겠다고, 그렇게 말했으니까, 나는 조금 강한 어조로 $1를 꾸짖었다.
$^そんな(.+?)の言葉に答える為に、俺は\1の喉奥までペニスを突きこんだ。$	그런 $1의 말에 답하기 위해, 나는 $1의 목구멍 깊숙히 페니스를 찔러 넣었다.
$^でもこのまま(.+?)がイっちゃったら、満足しちゃうんじゃないかな？$	그렇지만 이대로 $1가 가버려서, 만족해버리는 건 아닐까?
$^……(.+?)は、エッチなメイドだね……でも、俺もそんな\1が好きだよ。$	…… $1는, 음란한 메이드구나……그치만, 나도 그런 $1를 좋아해.
$^(.+?)、この間の健康診断の結果が届いてるよ。$	$1, 지난번의 건강검진 결과가 도착했어.
$^見させてもらったけど、(.+?)って意外とたいじゅ――$	일단 보게 되었지만, $1는 의외로 체주――
$^え？　何をかな、(.+?)。$	에? 뭐를, $1.
$^ね、猫カフェ？　オーナー？　あ、う、う～～ん……(.+?)がやりたいなら……でも、\1と一緒にいたいし……$	고, 고양이 카페? 주인? 아, 으, 으~~음…… $1가 하고싶다면…… 그래도, \1과 함께있고 싶고……
$^(.+?)……うぅ……いや、猫なら何とかするから、俺と一緒にいてくれ……！$	$1…… 으음…… 아니, 고양인라면 어떻게든 할테니까, 나와 함께 있어줘……!
$^(.+?)……？　どうして笑ってるの……？$	$1……? 어째서 웃는거야……?
$^……今日はエイプリルフールだ。せっかくだし、(.+?)に嘘をついてからかってやろう……。あ、\1！$	……오늘은 만우절이다. 모처럼이고, $1에게 거짓말을 해서 놀려보자……. 아, $1!
$^実は俺さ……(.+?)にずっと黙っていた事があるんだけど……$	실은 나말이야…… $1에 줄곧 말하지 않은 일이 있는데……
$^実は俺、不治の病にかかっててさ……余命いくばくもないんだよ。だから(.+?)……$	사실 나, 불치병에 걸려버려서 말이야…… 여생이 얼마 남지 않았어. 그러니까 $1……
$^(.+?)。実は俺、不治の病にかかっちゃったんだ。$	$1. 사실은 나, 불치병에 걸렸어.
$^（……(.+?)には、嘘をつかない方がいいかもなあ……）$	(……$1에게는, 거짓말을 하지 않는 편이 좋을지도……)
$^エイプリルフールは、無理に嘘をつかなくてもいいんだよ、(.+?)。$	만우절에, 무리하게 거짓말을 하지 않아도 괜찮아요 $1.
$^(.+?)ー！　ちょっといいかな？$	$1-! 잠깐 괜찮을까?
$^(.+?)……実は俺、天使の生まれ変わりだったんだよ。$	$1……실은 나, 천사의 환생이었던 거야.
$^今は人間になったから、それは無理なんだよ。悪いな、(.+?)。$	지금은 인간이 되었기 때문에, 그것은 무리야. 나쁘다, $1.
$^そうだな。できる事なら、俺も(.+?)にそうしてあげたかったよ。$	그렇다. 할 수 있는 일이라면, 나도 $1에게 이렇게 해주고 싶었어.
$^結局その後、適当についたエイプリルフールの嘘のために、延々と(.+?)に絡まれる事となったのだった。$	결국 그 후, 적당하게 한 만우절 거짓말 때문에, 끝없이 $1에게 얽히게 되었던 것이었다.
$^(.+?)からそんな風に迫ってくれるなんて。$	$1 쪽에서 그런 식으로 다가와 준다니.
$^(.+?)ってさ、大胆だよね。$	$1는 말야, 대담하구나.
$^(.+?)がそうしてくれるの、楽しみだな。$	$1가 그렇게 해주는거, 기대되는데.
$^いや、びっくりしちゃって。(.+?)、すごい似合ってるよ。$	아니, 깜짝 놀라버려서, $1, 굉장히 잘어울려요.
$^エロいし、可愛いよ。(.+?)はどう？　興奮する？$	에로하고, 사랑스러워요. $1는 어때? 흥분해?
$^へえ。(.+?)がそういう風にしてくれたら、すごく嬉しいよ。$	헤에. $1가 그런 식으로 해준다면, 굉장히 기뻐요.
$^おお、すごいね、(.+?)。上も下も、丸見えになってるよ。$	오오, 엄청나네, $1. 위도 아래도, 그대로 다 보이네.
$^とんでもない。すごく似合ってるよ、(.+?)。$	전혀 그렇지 않아. 엄청 잘 어울려. $1.
$^(.+?)だって可愛いよ。$	$1도 사랑스러워요.
$^ほんと？　大胆な(.+?)って、気になるな。$	정말? 대담한 $1라니, 궁금해지네.
$^ぜひ、そうしてほしいな。でも、俺は普段から(.+?)のことを愛しているよ。$	꼭, 그렇게 해주고 싶어. 그래도, 나는 평소에도 $1를 사랑하고 있어요.
$^もちろん、喜んで。(.+?)なら、大歓迎だよ。$	물론, 기뻐. $1라면, 대환영이야.
