いけないメイドには、お仕置きしないといけないな……	못난 메이드에게는 벌을 주지 않으면 안되겠지……
ちゅっ、ちゅっ……えへへ、ちょっとだけ、おしっこのあじ……するかもです……ご主人様のなら、平気ですぅ……ちゅ……ちゅ……	…… 에헤헤, 조금이지만 오줌의 맛이…… 날지도요…… 주인님의 것이라면 괜찮아요………………
ぐちゅっ、ぐちゅっ……んちゅっ……はぁ、ご主人様ぁ、んぅ、我慢できなくなっちゃって……ちゅっ、ちゅぷっ……	…… …… 하아, 주인님…… 못 참게 됐어요………………
それに、ちゅっ……ちゅっ……ご主人様がよろこんでくれるかなって思って、ちゅっ、ちゅぷっ……ぐちゅっ……！	그리고………… 주인님이 기뻐해주실 거라고 생각해서………………!
その度に、頬を綻ばせて、美味しいと表情で伝えてくれる。	그때마다, 볼을 들어서, 맛있다고 표정으로 전해 준다.
ぐちゅっ、はぁ、はぁ、ちゅぷ、んぅっ！　えへへ、好き、好きぃ、んちゅっ、れるぅっ、はぁ、はぁ、んぅうんっ……！	……하아, 하아…………! 에헤헤, 좋아, 좋아아………… 하아, 하아…………!
おひっこのあじも、んちゅっ、はうっ、あせのにおいも、はぁ、はぁ！　んぐちゅっ、んんん～～！　ぜんぶすきぃ、はぁあんっ……！	오줌 맛도…… 땀 냄새도, 하아, 하아! …………전부 좋아…………!
その濃厚な奉仕に、俺は少し情けないけれど、すぐに上り詰めてしまう。	그 농후한 봉사에, 나는 조금 한심하지만, 곧바로 올라와 버린다.
んっ……はぁ、はぁあ、ぐちゅっ、ごひゅじんひゃまの、ひくひくひてますっ、んぐちゅっ……れるぅ！　はぁ、はうっ、らして、らしてぇっ！	……하아, 하아아…… 주인니메 거기 움찔움찔하고 이써요………… 하아…… 싸줘 싸줘엇!
んぅっ、んぷっ……！　んぅううっ……ごひゅじんひゃまの……んぅっ……せいえきぃ……	응, 응풋……!　응우우……주인니메…………정액……
んくっ……こくっ……えへへ……はぁ、はぁ……おいしかったです……んぅん……	…………에헤헤…… 하아, 하아…… 맛있었어요…………
あう、でも、その……こんなに出しちゃったら、夜伽の時に、わたしにくれなくなっちゃうのでしょうか……？	……그치만 그…… 이렇게 싸 버리면 밤시중 때는 저한테 주지 못하게 되는 걸까요……?
……はは、お手柔らかに頼むよ。	……아아, 정중히 부탁할게.
ごめんなさい、あの……ご主人様にしてあげたいなって思ったら、我慢できなくって……続きは、お部屋で……ですね♪	죄송해요, 저…… 주인님이랑 하고 싶다고 생각하니 못 참겠어요…… 다음은 방에서……네요♪
その笑顔に、俺は打ち抜かれてしまうのであった。	그 미소에, 나는 꿰뚫려 버리는 것이었다.
ご主人様、あの……キス、してください……	주인님, 저…… 키스, 해주세요……
ちゅっ……ちゅ……んぅっ……ちゅっ……ごめんなさい……すぐに、その……ちゅっ……したくなっちゃって……	……………………죄송해요…… 바로 그………… 하고 싶어져서……
んちゅっ……じゅるぅっ……はぁ、はぁっ……ちゅ、ちゅううっ……はぁ、はううっ……ご主人様ぁ、ご主人様ぁ……	…………하아, 하아…………하아……주인님, 주인님……
もっと他にしてほしいことがあるかのような、物欲しそうな顔だった。	좀 더 그 밖에 해 주었으면 하는 일이 있을 것 같은, 갖고 싶어하는 듯 한 얼굴이었다.
……どうかした？	……어쩌려는 거야?
気付いているけれど、先回りして言うのも面白みにかける。	깨닫고 있지만, 앞질러서 말하는 것도 재미있는 것이다.
……ご主人様ぁ、あの……分かってください……えっと、わたし……	…… 주인님, 저…… 이해해 주세요…… 음, 저……
どうして部屋まで待てないのかな？	어째서 방까지 기다릴 수 없는 것일까?
夜伽に誘われた時から、き、期待して……最初は、その……キスしてくれたら、我慢できるかなって……	밤시중에 불렸을 때부터 기, 기대해서…… 처음엔 그…… 키스하면 참을 수 있을까 해서……
……だめ、ですよね。その……我慢できるはずないです……	…… 안되, 네요. 그…… 참을 수 있을 리가 없어요……
どうしたい、かな。	어떻게 하고 싶은 것, 일까.
…………あの……可愛がって下さい……	………… 저…… 귀여워해 주세요……
俺は……どうすればいいのかな？	내가……어떻게 하면 될까?
……あ、あう……せ、セックス、してください……ご主人様、わたしと、えっちしてください……	…… …… 세, 섹스, 해주세요…… 주인님, 저랑 섹스해 주세요……
俺はそこまで言わせても、ペニスを入れなかった。	나는 거기까지 말하고도, 페니스를 넣지 않았다.
ご主人様の、あの、がちがちになっている、ソレ……アソコに、入れて下さい……はぁ、はううっ……ご主人様ったらぁ……	주인님의, 저, 딱딱하게 되어 있는 그거…… 거기에 넣어 주세요…… 하아………… 주인님도 참……
はぁ……あうううっ……ご主人様の太いのがちがちなの……わたしの……その、触ってもいないのに……濡れちゃってるアソコに入れてください……！	하아………… 주인님의 굵고 딱딱한 거…… 저의…… 그, 손대지도 않았는데…… 젖어 버린 거기에 넣어 주세요……!
そのまますぐ、俺は激しい抽送を始める。	그대로 곧, 나는 격렬한 추송을 시작한다.
あうっ！　やぁ、やぁんっ！　ご、ご主人様、はげしっ……はぁ、はううっ……！　あううっ……！	………………주, 주인님, 격렬해…… 하아………………!
だって、いっぱい濡れてるから。	왜냐하면, 가득 젖고 있으니까.
はぁ、はぅうっ……んぅっ、は、はいっ、わたし、わたし、んぅんっ……！　いっぱいアソコ、その、濡らしちゃってました、はぁ、はぁっ……！	하아………… 네, 네, 저, 저…… 잔뜩 거기를, 그, 젖게 하고 있었어요, 하아…………!
あうう、んぅっ、き、キスする前は、ちょっとだけだったのにっ……はぁ、はぁ！　ご主人様とキスしたら、はああっ、いっぱい濡れて……！	…………키, 키스 하기 전에는 조금뿐이었는데…… 하아, 하아! 주인님이랑 키스 했더니…… 잔뜩 젖어서……!
少し奥に突くだけで、愛液はどくどくと重力に引かれて垂れてしまう。	조금 안쪽에 찌르는 것만으로, 애액이 넘쳐흘러 중력에 끌려 떨어져 버렸다.
ご、ごめんなさいぃ……はぁ、はううっ……ごめんなさい、ご主人様ぁ、はぁ、はううっ……わたし、こんなのぉ、エッチ過ぎです……	죄송해요…… 하아………… 죄송해요, 주인님, 하아………… 저, 이런 건 너무 야해요……
お部屋まで我慢できない、はぁ、はぁ、はしたないメイドですぅ、はぁ、はうっ……！	방에까지 가는 것도 못 참는, 하아, 하아, 버릇없는 메이드입니다아, 하아…………!
俺はお仕置き、と言わんばかりに抽送を激しくする。	나는 징계라고, 말할 것처럼 추송을 격렬하게 한다.
あひっ！　ああああ、はげし、はげしいですっ、んぅうんっ、ご主人様、ご主人様ぁっ♪	………………격렬해, 격렬해요…… 주인님, 주인님♪
はぁ、はぁ、やっぱり、わたしぃ、アソコのなかぁ、ふといのでぐりぐりされるのが、いちばんすきなんですっ……！	하아, 하아, 역시, 전, 거기 안쪽을 굵은 걸로 둥글둥글하게 하는 걸, 제일 좋아해요……!
あああ、んぅっ、はぁ、はぁ、なんか、わたしのあそこの、い、一番奥も、ご主人様の先にぃ、くちゅくちゅって、当たってますぅ……！	아아아…… 하아, 하아, 뭔가, 제 거기, 가, 가장 안쪽도, 주인님의 끝으로 질척질척 닿고 있어요……!
ご褒美といったほうが、正しい。	포상이라고 하는 편이, 올바르다.
はぁ、はううっ、は、はいっ、あううっ、そっかぁ、この後も、はううっ！　ご、ご主人様にずっと、一晩中、えっちなこと、されちゃうんだ……！	하아…… 네, 네…… 그런가, 이 뒤에도……! 주, 주인님에게 계속, 밤새 야한 일을 당해버리는 거야……!
あぁあ、あぅっ！　はぁ、はぁっ！　ご、ご主人様ぁああ～っ！！	아, 아!　하아, 하앗! 주, 주인니~임!
搾り取られるような、奪い取るような締め付け。	짜내려는 것 같은, 강탈하려는 것 같은 억압.
はぁあっ……ご、ご主人様がぁ……♪　せいえき、くれました……えへへ……わたし、おねだりして……良かったですぅ……	…………주, 주인님이……♪ 정액 주셨어요…… 에헤헤…… 저, 졸라대길…… 잘했어요……
……はい、えへへ……ご主人様が、エッチなメイドにしたんですよ……？　だから、その……この後も、あいしてください……♪	……네, 에헤헤…… 주인님이 야한 메이드로 만든 거에요……? 그니까 그…… 이 뒤에도 사랑해 주세요……♪
ご主人様……えっと、その……お部屋につく前に……	주인님…… 음, 그…… 방에 도착하기 전에……
…………ここで、わたしの事、苛めてくれませんか……？	…………여기서 저를 괴롭혀 주시지 않을래요……?
ご、ごめんなさい。その……だって、ご主人様とお話している時から、はやくはやくって思っちゃって……え、えへへ……	죄, 죄송해요. 그게…… 그치만, 주인님이랑 이야기 하고 있었을 때부터, 빨리, 빨리 하고싶다고 생각해서…… 에, 에헤헤……
エッチなメイドに、はう……い、いらまちお、してください……	야한 메이드에게………… 이라마치오를 시켜주세요……
ぐぷっ……んぉっ……んぅううっ……んぐぅうん……ごひゅじんひゃまぁ……んぐうぅうっ……	……응……응우우……응……주힌니이임…………
んぐっ、んぉっ……んぅううっ……ごめんなひゃいいっ……んぐっ、んぷぅっ……こんなめいどれぇ、んぐっ、んぉ、んぷぅっ……んぇえ……	응, 응……응우우……미한해여어…………이런 메이드라셔어, 응구읏……응읏……
はぁ、はぅっ……ぐぶっ……んぐ、ぶっ……おひおきひてくだひゃいいっ……んぐっ、んぅうんっ……んぅ、んぷっ……ごひゅじんひゃま……	하아, 하앗……우응…………저를 벌해주세여……응, 응흣……응……주힌니이임……
ん、ぐっ……！？　んぷっ！　んぅっ！　んぅっ、ひゅぐっ！　はぁ、はぁ、おひおき、んんんぅ～っ！	……………………………………
……あんまり嬉しそうにされても、お仕置きって感じがしないな。	……너무 기뻐 보여서 징계한다는 느낌이 안 드는데.
ぷ、はっ……はぁ、はうっ、ご、ご主人様だけなら……はい……すきです……のどのおく犯されると……はあ、すきすきって、思っちゃいます……	…… 하아…… 주, 주인님에게라면…… 네…… 좋아해요…… 목 안쪽을 범해지면…… 하아, 좋아좋아 라고 생각해요……
ご主人様が、わたしなんかで興奮して……はぁ、はぁ、こんなに大きくしてくれてるんだって思うと、わたし、しあわせです……	주인님이 저 따위로 흥분해서…… 하아, 하아, 이렇게 크게 해주신다고 생각하니 저는 행복해요……
んんん～～～っ！！　んぐぅ、うぇええっ、んぷっ、んぅうんっ！　はぁ、はぁ、ひあわへれすぅっ！	…………………………하아, 하아………!
いくら苛めてもお仕置きにならないな、この淫乱メイドは！	아무리 괴롭혀도 징계가 안 되잖아, 이 음란 메이드는!
んんんぅうんっ！　ごめんなひゃい、ごめんなひゃいいっ、んぐっ、んんんぅっ、いんらんでぇ、んぐっ、うぇえ、んぷっ、んんん～～～っ！！	응응으응읏!　미안해, 미안해애애앳, 응긋, 응응응, 음란해셔, 응풋, 응응응∼~~!
んぐ、ぷっ、んぅっ！　んぅっ、んぁああ！　ひぅうっ、らしてぇ、んぐっ、んぅうんっ！　んどおくれ、んぐっ、んんぅうう～！！	응,흣, 응으으!　응, 응아아아!　히으으읏, 나온다아, 응으응읏!　늦어, 응긋, 응응우우∼！！
んぐっ……！？　んぅっ、んぐぅうっ……！！　ごほっ……ごほっ……	응굿……!?　응읏, 응구우읏……!　콜록……콜록……
……分かるよね。	……알지.
んっ……んくっ……んくっ……こくっ……んぷっ……はぁ、はぁ……えへへ……いっぱい、です……	………………………… 하아, 하아…… 에헤헤…… 잔뜩, 나왔네요……
こんなわたしに、んぅっ、たくさんの精液を注ぎ込んでくださって……あ、ありがとうございます……	이런 저에게…… 잔뜩 정액을 쏟아 주셔서…… 가, 감사합니다……
……さっさと立って、部屋で続きをするから。	……빨리 일어나, 방에서 계속 해야 하니까.
は、はい……♪　わたしのお願いに答えてくださって……お仕置きしてくれて……とても、しあわせです……	네, 네……♪ 제 부탁을 들어주셔서…… 벌을 주셔서…… 너무 행복해요……
どういうつもり？	뭐 하려는 생각이야?
えっと……その、ご主人様ぁ……ここでしてください……お部屋まで待てません……	음…… 그, 주인님…… 여기서 해주세요…… 방까지 못 기다리겠어요……
まだ、濡れてないけど……	아직, 젖지 않았는데……
え、えっと……その、痛いの、好きなので……えへへ……	으, 음…… 그, 아픈 거 좋아해서…… 에헤헤……
あの、あうう……このままだと、ご主人様にされちゃうって思って、濡れちゃいますから……はやくぅ……	저…… 이대로라면, 주인님이랑 한다고 생각하면 젖을 테니까요…… 빨리……
んぁあああっ……！　はぁ、はぁっ、はううっ、くるし、です……んぁああんっ……♪	………… 하아……괴로, 워요………………♪
はぁ、はぁっ……は、ぅううっ……わたし、あうっ……ん、くっ……んぅうんっ……いたくて、興奮しますぅ……	하아……………… 저, 저……………………… 아파서, 흥분해요……
すごいな、締め付けが……	대단해, 조임이……
あ、あの……はぁ、はうっ、えっとぉ、叩いて、くれたらぁ……も、もっと、アソコ、きゅーって、なりますよ……？	저, 저기…… 하아…… 음, 때려주면…… 조, 좀 더, 거기, 감동해요……?
ご主人様が良かったら……はぁ、はぁ、お、お尻……叩いてぇ……はぁ、はううっ……	주인님이 괜찮다면…… 하아, 하아, 어, 엉덩이…… 때려줘…… 하아……
そう言われて、俺は従ってしまう。	그렇게 말하니, 그대로 해 준다.
あっ……！？　ひぃっ！　ひぃいいんっ！　ご、ご主人様ぁ、はぁ、はうっ！　叩かれちゃったぁ……♪	앗……!? ………… 주, 주인님, 하아……! 맞아 버렸다아……♪
はぁ、はううっ、んぅっ、ご、ご主人様ぁ、どうですか、はぁ、はううっ、きもちいいですか……？	하아………… 주, 주인님, 어때요, 하아…… 기분 좋으세요……?
それなら……	그렇다면……
あうっ！　あぅうっ……！　やぁ、やぁあんっ！　はぁ、はぁっ、ご主人様、はげしいです、はぁ、あううっ！	……………………하아…… 주인님, 격렬해요, 하아……!
……そう？　挿れてからすぐに濡れだして、叩きながらエッチしたら、もうぐちゅぐちゅになってるけど？	……그런?　넣기가 무섭게 젖기 시작해서,두드리며 섹스를 하니 질척질척하게 되어 있다만?
きゃうっ、きゃぅううっ……！　はぁ、はぅっ！！　だって、ご、ご主人様がしてくれるからぁ、はぁはううっ……！	…………………………그치만, 주, 주인님이 해 주시니까………………!
やぁ、やぁあんっ！　はぁ、はひっ、お尻、じんじんしちゃってますっ……！　はぁ、はぁ、ご主人様、ご主人様ぁ……！	………………하아…… 엉덩이, 얼얼해졌어요……! 하아, 하아, 주인님, 주인님……!
はぁ、はぅっ、んぅっ、ひぐっ、こんな、お、お部屋に行く途中なのにっ……！　あぅうっ！　わたし、わたしっ……！	하아……………… 이런, 바, 방에 가는 길인데……! ……저, 저……!
本当だよ、ご主人様も大変だって分かってる？	사실이야, 주인님도 힘들다는 거 알고 있어?
あはぁ、はぁ、やぁあああんっ！　ごめん、なさいっ！　あううっ、あううっ……！！　ご主人様ぁ……！	……하아………… 죄송, 해요! ……………… 주인님……!
あ、あのっ、はぁ、はううっ、さ、最後まで、最後までっ……！　し、してくれますよね……？	저, 저기, 하아…… 끄, 끝까지, 끝까지……! 해, 해 주실 거죠……?
注文の多いメイドだな……ま、してあげるよ。	주문이 많은 메이드로구만……뭐, 해 줄게.
ぁあっ、あぎっ、はぁ、はぁあっ、あ、ありがとうございますっ、んぅっ！　んくっ、はぁ、はうううっ……！	, , 후~, 후~아, 아, 감사합니다, 응!　응구, 후~, 우우……!
しょうがないから、ほらっ……	어쩔 수 없으니까, 이보세요……
んぁっ、出てますっ……！　んぅっ！　んぁあ～～～～っ……！！	……나와요……………!
ふぁああ……アソコも、おひりも……んぅうん……火傷しそうなぐらい……熱いままです……んぅうんっ……	…… 거기도, 엉덩이도………… 너무…… 뜨거워요…… ……
はぁ、はぁ、ご主人様も、こんなに出してくれたんですね……？　あうう、エッチで、お部屋まで待てないわたしに……こんなにくれるなんてぇ……	하아, 하아, 주인님, 이렇게나 싸주신 거네요……? ……야해, 방까지 못 기다린 저에게…… 이렇게나 싸주다니……
は、はい……おねだりに答えてくれてぇ……ありがとう、ございました……だいすきな、ご主人様……	네, 네…… 부탁한 걸 해주셔서…… 감사합, 니다…… 정말 좋아하는 주인님……
ご主人様がよろしければ、その……この後も、いっぱい苛めてくださいね……えへへ……	주인님이 괜찮으시다면 그…… 이 뒤에도 잔뜩 괴롭혀 주세요…… 에헤헤……
あれだけ出したというのに、俺はすでに腹の奥に何かが滾るのを感じていた。	그토록 냈다는 것에, 나는 이미 배 속에 무언가가 끓어오르는 것을 느끼고 있었다.
ご主人様、からだ、ちょっとあついです……えへへぇ……	주인님, 조금 덥네요…… 에헤헤에……
飲み過ぎちゃったかな？　……この後、ちゃんと夜伽できる？	과음해 버렸다일까?　……이 후, 분명하게 밤시중할 수 있어?
は、はい、れきますよ？　ご主人様にい～っぱい、かわいがってもらいたいです。	네, 네, 할 수 있다구요? 주인님에게 잔뜩 귀여움 받고 싶어요.
酔っているからって、遠慮しないでいいですからね？　そ、それに、わたしも……いつもより大胆になっちゃうかもしれませんし……	취해 있다고 사양하지 않아도 괜찮다구요? 그, 그리고, 저도…… 평소보다 대담하게 되어 버릴지도 모르고……
えぇ、うぅ……じゃあ、ご主人様とえっちするときはですね、お酒いっぱい飲んじゃいますよ？	에…… 그럼 주인님과 섹스할 때는요, 술, 많이 마실 거에요?
それはやだなぁ。可愛いだろうけど……	그건 싫네. 귀엽겠지만……
ご主人様はわがままです、どっちがいいんですか……？	주인님은 제멋대로네요, 어느 쪽이 좋으세요……?
うぅ～っ……なんか、ごまかされたようなきがします……	…… 뭔가, 속은 것 같은 느낌이 드네요……
でも、えへへぇ……ご主人様にかわいいって言ってもらってぇ……嬉しいです……ね、はやく……いきませんか……？	그치만, 에헤헤에…… 주인님이 사랑스럽다고 말해 주셔서…… 기쁘…… 네요, 빨리…… 가지 않을래요……?
えへへぇ……良い気分です、ご主人様ぁ、これからそのぉ……えっちなことするんですよね？	에헤헤에…… 좋은 기분이에요, 주인님, 지금부터 그…… 야한 걸 하는 거네요?
ちゃんとできるでしょうか……ぼーっとしちゃってるから、ご主人様にしつれいなことしちゃうかもしれません……	제대로 할 수 있을까요…… 멍하고 있어서, 주인님에게 실례를 해버릴지도 몰라요……
あうー、ご主人様がわたしにエッチなことするんですね……は、はずかしいですよう……	……주인님이 저에게 야한 짓을 하는 거네요…… 부, 부끄러워요……
ご主人様は女性を酔わせてえっちなことをしちゃう人なんですね……もぉ、だめですよ～、そういうの、わたし以外にしちゃだめですからね？	주인님은 여자를 취하게 해서 야한 걸 해 버리는 분이네요…… 아, 안돼요, 그런 건, 저한테 말고는 하면 안된다니까요?
えっと、あう、そうですねぇ。そういうことになっちゃいますねぇ、はい……	음…… 그러네요. 그런 일이 되어 버리네요, 네……
……うぅ、ちょっと……その、緊張、しますね……	…… 조금…… 그, 긴장, 되네요……
やっぱりその、まだ抵抗はあるかな？	역시 그, 아직 저항은 있는 거야?
あ、いえっ！　け、決して抵抗なんて……その、感じていません。	아, 아뇨! 저, 저항이라니 절대…… 그, 느끼고 있지 않아요.
ただ、わたしで満足していただけるのかな、とか……ご主人様のお相手が務まるのかな、とか……	그냥, 제가 만족을 드릴 수 있을까, 라든지…… 주인님의 상대를 해낼 수 있을까, 라든지……
……大丈夫だよ。	…… 괜찮아.
逆に、そういう風に緊張してくれるほうが、初々しくて可愛いかな。	반대로 그런 식으로 긴장해 주는 편이, 청순하고 귀여우려나.
そうですか？　でもその、緊張してきっと上手くできなくて……	그런가요? 그치만 그, 긴장해서 분명 잘하지 못할 것 같아서……
できなくてもいいから、自然な姿で俺の相手をしてくれないかな？	못해도 되니까 자연스러운 모습으로 내 상대를 해 주지 않을래?
あ、は、はいっ……分かりました……ご主人様って優しいんですね。	아, 네, 네…… 알겠어요…… 주인님은 상냥하네요.
そうかな？　いや、俺、かなり都合のいいことを言っているんだけど。	그런가? 아니, 나, 꽤나 적당한 말을 하고 있는데.
……それでも、です。わたし、そのままでいいって言われて……少しほっとしました。	…… 그래도, 요. 저, 그대로도 좋다고 말해주셔서…… 조금 안심했어요.
あの、えっと……ご主人様は、わたしのような女の子と夜伽をして……楽しいのですか？	저, 음…… 주인님은, 저 같은 여자랑 밤시중을 해서…… 즐거우세요?
もっと……積極的で、エッチで、男の人を楽しませるような魅力的な女性って、いっぱいいると思うのです……	좀 더…… 적극적이고 야해서, 남자를 즐겁게 하는 매력적인 여자는 많이 있다고 생각해요……
あ、は、はい……そうですよね。夜伽ってご主人様からしてもらう事もいっぱいありますよね。	아, 네, 네…… 그러네요. 밤시중은 주인님께서 해주시는 것도 많이 있지요.
でも、あうう……気持ちよくして貰うだけだと、ちょっと悪いなって思います。わたし、メイドなのに……	그치만…… 기분 좋게 될 뿐이라고 생각하면, 좀 나쁘다고 생각해요. 저, 메이드인데……
……これからもっと、仲良くなっていきたいね。	…… 지금부터 좀 더, 사이 좋아지고 싶네.
えっ！？　あ、あの、はい……わたし、今でもご主人様のこと、お、お慕いしていますよ……？	엣!? 저, 저, 네…… 저, 지금도 주인님을, 자, 잘 따르고 있다구요……?
無理しなくていいよ、少しずつでいいと思うから。	무리하지 않아도 좋아, 조금씩인게 좋다고 생각하니까.
……は、はい……わたし、手のかかるメイドでごめんなさい……えっと……	…… 네, 네…… 저, 손이 가는 메이드라서 죄송해요…… 음……
ゆっくり、その……可愛がって、くださいね……？	느긋하게, 그…… 귀여워해, 주세요……?
うん、分かったよ。	응, 알았어.
あ、はい。平気ですよ、ご主人様……ふふ、ありがとうございます。	아, 네. 괜찮아요, 주인님…… 후후, 고마워요.
風邪をひかれたから困るからね。	감기에 걸렸으면 곤란하니까.
大丈夫ですよ。その……この後、わたしの事を可愛がってくれるんですよね？	괜찮아요. 그…… 이 뒤에, 저를 귀여워해주시는 거죠?
それなら、えっと、暖かくなるから、平気です。	그러면, 음, 따뜻해지니까, 괜찮아요.
ちょっと照れるね。	조금 수줍군.
えへへ……そうですね、わたし、ちょっと大胆な事を言ってしまいました。	에헤헤…… 그러네요, 저, 조금 대담한 말을 해버렸어요.
こうして二人で、その……そういう事をする為に移動している間って、どきどきするんです。	이렇게 둘이서, 그…… 그런 일을 하려고 가고있는 동안은, 두근두근하네요.
そんな事言われたら、俺だって……	그런 일 말해지면, 나도……
ご主人様も照れるのですか？	주인님도 부끄러우세요?
……ごめんなさい、ちょっとだけ、ご主人様の事可愛いって、思ってしまいました。生意気ですよね？	…… 죄송해요, 조금이지만, 주인님을 귀엽다고 생각해 버렸어요. 건방지죠?
……はやく、行きましょうか。ふふっ……	……빨리, 갈까요. 후훗……
ご主人様が、今夜わたしを選んでくれて……とても嬉しいです。えへへ。	주인님이 오늘 밤 저를 선택해 주셔서…… 너무 기뻐요. 에헤헤.
あの、何でも言ってくださいね？　それに、えっと……何でも、してくださいね？	저, 뭐든지 말해 주세요? 그리고 음…… 뭐든지 해 주세요?
わたし、どちらかというと、自分は大人しいほうだって思っています……だから、その……ご主人様にしてもらうの、好きです。	저, 어느 쪽인가 하면, 스스로는 얌전한 편이라고 생각하고 있어요…… 그러니까, 그…… 주인님이 해주시는 거, 좋아해요.
ご主人様がわたしのこと、好きだーって……そ、そういう感じでしてくれるから、大好きです。	주인님이 저를 아껴준다는…… 그, 그런 느낌으로 해주시니까, 정말 좋아요.
でも、ご主人様にするのも、えっと……好きです。あの、自分から何かご主人様にして、それで喜んでもらえるのって幸せで……	그치만 주인님에게 해드리는 것도, 음…… 좋아해요. 저, 제가 뭔가 주인님에게 해드려서, 그래서 기뻐해 주시는 건 행복해서……
うぅ～っ……でも、それってとっても、エッチな事ですよね？　ご主人様……	…… 그래도, 그건 너무 야한 거겠죠? 주인님……
すごく嬉しいから、これからもしてくれると嬉しいね。	엄청 기쁘니까, 앞으로도 해 주면 기쁘겠네.
はい。頑張ります！　いっぱい、その……可愛がってください。わたしもご主人様の為なら、何だってできます！	네. 열심히 할게요! 잔뜩, 그…… 귀여워해 주세요. 저도 주인님을 위해서라면, 뭐든지 할 수 있어요!
張り切ってるなぁ。	의욕이 넘치네.
……ご主人様に、その……夜伽してもらえるって思うと、嬉しくて……えへへ……ご主人様ぁ……	…… 주인님에게 그…… 밤시중 해드릴 수 있다고 생각하니 기뻐서…… 에헤헤…… 주인님……
ご主人様ぁ……ふふ、今日はどんな事をしてくれるんですか？	주인님…… 후후, 오늘은 어떤 걸 해 주시는 거에요?
そういうのは先に言うものじゃないと思うけどね。	그러한 것은 먼저 말하는 것이 아니라고 생각하지만.
何をされても、構わないですからね。ご主人様が乱暴な事をしたい……というのなら、受け入れます。	뭘 해도 상관없으니까요. 주인님이 난폭하게 하고 싶다…… 고 한다면 받아들이겠어요.
わたしはご主人様のメイドですから……気の済むまで、わたしの身体で楽しんでくださいね。	저는 주인님의 메이드니까요…… 기분이 좋아질 때까지, 제 몸으로 즐겨 주세요.
あんまり男にそういうことを言うものじゃないよ。	남자에게 그런 말을 하는 것은 좋지 않아.
俺だってそれを本気にして……乱暴にしちゃうかもしれない。	나도 그것을 진심으로 해서……난폭하게 해버릴지도 몰라.
ご主人様に乱暴……お、犯されちゃうんですか？　わたし。ご主人様に……	주인님에게 난폭…… 버, 범해져 버리는 건가요? 저. 주인님에게……
そういうことになるね。	그렇게 되겠네.
……ご、ごめんなさい。ご主人様がそういう事してくれたら嬉しいなって思っちゃいました……	…… 죄, 죄송해요. 주인님이 그렇게 해 주시면 기쁘겠다고 생각해 버렸어요……
夜伽でお仕置き、してください……えへへ、わたしエッチな子です、ですから、どうか……	밤시중에서 벌을, 주세요…… 에헤헤, 저 야한 아이입니다, 그니까, 제발……
わたしのこと……お、犯してください……	저를…… 버, 범해 주세요……
え、えっと……どうでしょうか？　ご主人様、こういうの好きかなって思って……	에, 음…… 어떠세요? 주인님, 이런 걸 좋아하실까 싶어서……
ちょっとマニアックでしょうか……あう、なんか、夜伽の前に、自分から着替えるのって……積極的過ぎでしょうか……？	조금 마니악한가요…… 뭔가, 밤시중 전에, 자기부터 갈아입는 건…… 너무 적극적일까요……?
ううん、嬉しいよ。	으응, 기뻐.
ち、違いますっ！　ご主人様が喜んでくれると思って、そ、それだけですよぅ。	아, 아니에요! 주인님이 기뻐해 주실 거라고 생각해서, 그, 그것 뿐이에요.
は、はいっ……えへへ、ご主人様に気に入ってもらえて……とっても嬉しいです。	네, 넷…… 에헤헤, 주인님이 마음에 드셨다니…… 너무 기뻐요.
あ、あの……は、はだかエプロン、です……はううっ……男の人って、こういうの……す、好きって、聞きまして……	저, 저기…… 아, 알몸 앞치마, 에요………… 남자는 이런 걸…… 조, 좋아한다고 들어서……
すごくエッチだね。	몹시 음란한걸.
うぅ、うぅ～っ……凄く恥ずかしいです、あの、凄く勇気を出したんですよ……？	…………너무 부끄러워요, 저, 엄청 용기를 냈다구요……?
ありがとう、嬉しいよ。	고마워요, 기뻐.
…………ご主人様とわたし……新婚さん、みたいでしょうか？　	…………주인님이랑 저…… 신혼 부부, 같을까요?
真っ赤になってるよ。	새빨갛게 되었어.
あわわっ……うぅ～っ……どうしちゃったんだろ、わたし。なんでこんなエッチな事、ばっかり……あの、本当にご主人様に喜んで欲しくて、それだけですっ！	…………어떻게 된걸까, 나. 왜 이런 야한 일 뿐…… 저, 정말로 주인님이 기뻐해주셨으면 해서, 그것 뿐이에요!
…………如何でしょうか、ご主人様……わたしの、この格好……	………… 어떠세요, 주인님…… 제, 이 모습……
丸見えだね……	훤히 들여다 보이는데……
ご主人様と、何回も、その……夜伽をしましたから。わたしの事、いつまでも、その……エッチな目で、見て欲しいなって、思って……	주인님이랑 몇번이나, 그…… 밤시중을 했으니까. 저를, 언제나, 그…… 야한 눈으로 봐줬으면 좋겠다고 생각해서……
凄いな。	엄청나네.
どうでしょうか、その……わたしと夜伽をしたいって思ってくれたら、とっても嬉しいです。何でも、ご、ご主人様……わたしに好きなことしてくださいね？	어떠세요, 그…… 저랑 밤시중을 하고 싶다고 생각해 주시면, 너무 기뻐요. 뭐든지, 주, 주인님…… 저한테 좋아하는 걸 해 주세요?
